Temperatura, Can B, 24V
Tempo ( s )	Temperatura ( °C )
70,9000	24,47803195
71,0000	24,47803195
71,1000	24,47803195
71,2000	24,52306280
71,3000	24,47803195
71,4000	24,47803195
71,5000	24,47803195
71,6000	24,56811635
71,7000	24,47803195
71,8000	24,47803195
71,9000	24,47803195
72,0000	24,47803195
72,1000	24,47803195
72,2000	24,47803195
72,3000	24,47803195
72,4000	24,47803195
72,5000	24,43302367
72,6000	24,47803195
72,7000	24,47803195
72,8000	24,47803195
72,9000	24,47803195
73,0000	24,47803195
73,1000	24,47803195
73,2000	24,47803195
73,3000	24,47803195
73,4000	24,47803195
73,5000	24,47803195
73,6000	24,47803195
73,7000	24,47803195
73,8000	24,52306280
73,9000	24,47803195
74,0000	24,47803195
74,1000	24,47803195
74,2000	24,47803195
74,3000	24,47803195
74,4000	24,47803195
74,5000	24,47803195
74,6000	24,47803195
74,7000	24,47803195
74,8000	24,47803195
74,9000	24,47803195
75,0000	24,47803195
75,1000	24,47803195
75,2000	24,47803195
75,3000	24,47803195
75,4000	24,47803195
75,5000	24,47803195
75,6000	24,47803195
75,7000	24,47803195
75,8000	24,47803195
75,9000	24,47803195
76,0000	24,47803195
76,1000	24,47803195
76,2000	24,52306280
76,3000	24,47803195
76,4000	24,52306280
76,5000	24,47803195
76,6000	24,47803195
76,7000	24,47803195
76,8000	24,47803195
76,9000	24,47803195
77,0000	24,47803195
77,1000	24,47803195
77,2000	24,47803195
77,3000	24,47803195
77,4000	24,52306280
77,5000	24,47803195
77,6000	24,47803195
77,7000	24,47803195
77,8000	24,47803195
77,9000	24,47803195
78,0000	24,47803195
78,1000	24,47803195
78,2000	24,47803195
78,3000	24,47803195
78,4000	24,47803195
78,5000	24,47803195
78,6000	24,47803195
78,7000	24,47803195
78,8000	24,47803195
78,9000	24,47803195
79,0000	24,47803195
79,1000	24,47803195
79,2000	24,47803195
79,3000	24,47803195
79,4000	24,52306280
79,5000	24,47803195
79,6000	24,52306280
79,7000	24,47803195
79,8000	24,47803195
79,9000	24,47803195
80,0000	24,47803195
80,1000	24,47803195
80,2000	24,47803195
80,3000	24,47803195
80,4000	24,47803195
80,5000	24,47803195
80,6000	24,47803195
80,7000	24,47803195
80,8000	24,47803195
80,9000	24,47803195
81,0000	24,52306280
81,1000	24,47803195
81,2000	24,52306280
81,3000	24,52306280
81,4000	24,52306280
81,5000	24,47803195
81,6000	24,52306280
81,7000	24,47803195
81,8000	24,47803195
81,9000	24,47803195
82,0000	24,52306280
82,1000	24,47803195
82,2000	24,47803195
82,3000	24,47803195
82,4000	24,47803195
82,5000	24,47803195
82,6000	24,47803195
82,7000	24,43302367
82,8000	24,47803195
82,9000	24,47803195
83,0000	24,47803195
83,1000	24,47803195
83,2000	24,47803195
83,3000	24,47803195
83,4000	24,47803195
83,5000	24,47803195
83,6000	24,47803195
83,7000	24,47803195
83,8000	24,47803195
83,9000	24,47803195
84,0000	24,47803195
84,1000	24,47803195
84,2000	24,47803195
84,3000	24,47803195
84,4000	24,47803195
84,5000	24,47803195
84,6000	24,47803195
84,7000	24,47803195
84,8000	24,47803195
84,9000	24,47803195
85,0000	24,47803195
85,1000	24,47803195
85,2000	24,47803195
85,3000	24,47803195
85,4000	24,52306280
85,5000	24,52306280
85,6000	24,52306280
85,7000	24,47803195
85,8000	24,52306280
85,9000	24,52306280
86,0000	24,52306280
86,1000	24,47803195
86,2000	24,47803195
86,3000	24,47803195
86,4000	24,47803195
86,5000	24,47803195
86,6000	24,47803195
86,7000	24,47803195
86,8000	24,47803195
86,9000	24,52306280
87,0000	24,47803195
87,1000	24,47803195
87,2000	24,52306280
87,3000	24,47803195
87,4000	24,52306280
87,5000	24,47803195
87,6000	24,47803195
87,7000	24,47803195
87,8000	24,47803195
87,9000	24,47803195
88,0000	24,47803195
88,1000	24,47803195
88,2000	24,47803195
88,3000	24,52306280
88,4000	24,47803195
88,5000	24,47803195
88,6000	24,52306280
88,7000	24,47803195
88,8000	24,52306280
88,9000	24,52306280
89,0000	24,52306280
89,1000	24,47803195
89,2000	24,47803195
89,3000	24,47803195
89,4000	24,52306280
89,5000	24,47803195
89,6000	24,47803195
89,7000	24,52306280
89,8000	24,52306280
89,9000	24,47803195
90,0000	24,52306280
90,1000	24,52306280
90,2000	24,47803195
90,3000	24,52306280
90,4000	24,47803195
90,5000	24,47803195
90,6000	24,47803195
90,7000	24,47803195
90,8000	24,52306280
90,9000	24,52306280
91,0000	24,52306280
91,1000	24,47803195
