#r		P		D
            3.68   0.250460012005  -0.137769694353
            3.69   0.249085273233    -0.1371793888
             3.7   0.247716424238  -0.136591737186
            3.71   0.246353438498   -0.13600673589
            3.72   0.244996289529  -0.135424381094
            3.73   0.243644950886   -0.13484466879
            3.74   0.242299396164   -0.13426759478
            3.75   0.240959599001  -0.133693154689
            3.76    0.23962553308  -0.133121343959
            3.77   0.238297172132  -0.132552157864
            3.78   0.236974489934  -0.131985591505
            3.79   0.235657460314  -0.131421639822
             3.8    0.23434605715  -0.130860297593
            3.81   0.233040254374  -0.130301559442
            3.82   0.231740025974  -0.129745419838
            3.83    0.23044534599  -0.129191873106
            3.84   0.229156188525  -0.128640913424
            3.85   0.227872527735  -0.128092534833
            3.86   0.226594337842  -0.127546731234
            3.87   0.225321593124    -0.1270034964
            3.88   0.224054267928  -0.126462823972
            3.89   0.222792336659  -0.125924707468
             3.9   0.221535773793  -0.125389140282
            3.91   0.220284553869  -0.124856115693
            3.92   0.219038651494  -0.124325626862
            3.93   0.217798041347  -0.123797666842
            3.94   0.216562698173  -0.123272228575
            3.95   0.215332596791    -0.1227493049
            3.96   0.214107712091  -0.122228888555
            3.97   0.212888019036  -0.121710972177
            3.98   0.211673492663   -0.12119554831
            3.99   0.210464108086  -0.120682609403
               4   0.209259840492  -0.120172147819
            4.01   0.208060665146   -0.11966415583
            4.02   0.206866557392  -0.119158625629
            4.03   0.205677492651  -0.118655549324
            4.04   0.204493446423  -0.118154918946
            4.05   0.203314394289  -0.117656726451
            4.06   0.202140311911  -0.117160963722
            4.07   0.200971175032   -0.11666762257
            4.08   0.199806959477   -0.11617669474
            4.09   0.198647641155  -0.115688171911
             4.1   0.197493196057  -0.115202045697
            4.11   0.196343600259  -0.114718307655
            4.12   0.195198829922   -0.11423694928
            4.13   0.194058861292  -0.113757962014
            4.14     0.1929236707  -0.113281337243
            4.15   0.191793234565  -0.112807066302
            4.16   0.190667529393  -0.112335140477
            4.17   0.189546531774  -0.111865551006
            4.18   0.188430218391  -0.111398289082
            4.19   0.187318566011  -0.110933345855
             4.2   0.186211551493  -0.110470712433
            4.21   0.185109151782  -0.110010379886
            4.22   0.184011343914  -0.109552339245
            4.23   0.182918105016  -0.109096581505
            4.24   0.181829412303  -0.108643097629
            4.25   0.180745243082  -0.108191878548
            4.26   0.179665574751   -0.10774291516
            4.27   0.178590384798  -0.107296198338
            4.28   0.177519650804  -0.106851718925
            4.29   0.176453350439  -0.106409467742
             4.3   0.175391461468  -0.105969435583
            4.31   0.174333961747  -0.105531613223
            4.32   0.173280829223  -0.105095991413
            4.33   0.172232041938  -0.104662560889
            4.34   0.171187578025  -0.104231312367
            4.35    0.17014741571  -0.103802236547
            4.36   0.169111533313  -0.103375324114
            4.37   0.168079909247  -0.102950565742
            4.38   0.167052522018   -0.10252795209
            4.39   0.166029350225  -0.102107473808
             4.4   0.165010372561  -0.101689121537
            4.41   0.163995567814  -0.101272885908
            4.42   0.162984914862  -0.100858757547
