0		         0.500000         0.000000         1.178098 0
        0.156000         0.442701        -0.721324         1.187889         0.008311
        0.157000         0.441977        -0.725605         1.188006         0.008410
        0.158000         0.441249        -0.729879         1.188123         0.008509
        0.159000         0.440517        -0.734146         1.188240         0.008609
        0.160000         0.439781        -0.738407         1.188358         0.008709
        0.161000         0.439041        -0.742661         1.188477         0.008810
        0.162000         0.438296        -0.746908         1.188596         0.008911
        0.163000         0.437547        -0.751149         1.188715         0.009013
        0.164000         0.436794        -0.755382         1.188836         0.009115
        0.165000         0.436036        -0.759609         1.188956         0.009217
        0.166000         0.435274        -0.763829         1.189077         0.009320
        0.167000         0.434508        -0.768043         1.189198         0.009423
        0.168000         0.433738        -0.772249         1.189320         0.009526
        0.169000         0.432964        -0.776448         1.189443         0.009630
        0.170000         0.432185        -0.780640         1.189566         0.009734
        0.171000         0.431403        -0.784825         1.189689         0.009839
        0.172000         0.430616        -0.789003         1.189813         0.009944
        0.173000         0.429825        -0.793174         1.189937         0.010049
        0.174000         0.429029        -0.797337         1.190061         0.010155
        0.175000         0.428230        -0.801493         1.190186         0.010261
        0.176000         0.427426        -0.805642         1.190312         0.010368
        0.177000         0.426619        -0.809784         1.190438         0.010475
        0.178000         0.425807        -0.813918         1.190564         0.010582
        0.179000         0.424991        -0.818045         1.190691         0.010689
        0.180000         0.424171        -0.822164         1.190818         0.010797
        0.181000         0.423346        -0.826276         1.190946         0.010906
        0.182000         0.422518        -0.830381         1.191074         0.011014
        0.183000         0.421686        -0.834477         1.191202         0.011123
        0.184000         0.420849        -0.838567         1.191331         0.011233
        0.185000         0.420009        -0.842648         1.191460         0.011342
        0.186000         0.419164        -0.846722         1.191589         0.011452
        0.187000         0.418315        -0.850788         1.191719         0.011562
        0.188000         0.417462        -0.854846         1.191849         0.011673
        0.189000         0.416605        -0.858897         1.191980         0.011784
        0.190000         0.415745        -0.862939         1.192111         0.011895
        0.191000         0.414880        -0.866974         1.192242         0.012006
        0.192000         0.414011        -0.871001         1.192374         0.012118
        0.193000         0.413138        -0.875020         1.192506         0.012230
        0.194000         0.412261        -0.879031         1.192639         0.012343
        0.195000         0.411380        -0.883034         1.192771         0.012455
        0.196000         0.410494        -0.887028         1.192904         0.012568
        0.197000         0.409605        -0.891015         1.193038         0.012682
        0.198000         0.408712        -0.894993         1.193171         0.012795
        0.199000         0.407815        -0.898963         1.193305         0.012909
        0.200000         0.406915        -0.902925         1.193440         0.013023
        0.201000         0.406010        -0.906879         1.193574         0.013137
        0.202000         0.405101        -0.910824         1.193709         0.013252
        0.203000         0.404188        -0.914761         1.193845         0.013366
        0.204000         0.403271        -0.918690         1.193980         0.013482
        0.205000         0.402351        -0.922610         1.194116         0.013597
        0.206000         0.401426        -0.926521         1.194252         0.013712
        0.207000         0.400498        -0.930424         1.194389         0.013828
        0.208000         0.399565        -0.934319         1.194525         0.013944
        0.209000         0.398629        -0.938205         1.194662         0.014060
        0.210000         0.397689        -0.942082         1.194799         0.014177
        0.211000         0.396745        -0.945950         1.194937         0.014293
        0.212000         0.395797        -0.949810         1.195074         0.014410
        0.213000         0.394845        -0.953661         1.195212         0.014527
        0.214000         0.393890        -0.957503         1.195351         0.014645
        0.215000         0.392930        -0.961337         1.195489         0.014762
        0.216000         0.391967        -0.965161         1.195628         0.014880
        0.217000         0.391000        -0.968977         1.195767         0.014998
        0.218000         0.390029        -0.972784         1.195906         0.015116
        0.219000         0.389054        -0.976581         1.196045         0.015234
        0.220000         0.388076        -0.980370         1.196185         0.015353
        0.221000         0.387094        -0.984149         1.196324         0.015471
        0.222000         0.386107        -0.987920         1.196464         0.015590
        0.223000         0.385118        -0.991681         1.196604         0.015709
        0.224000         0.384124        -0.995433         1.196745         0.015828
        0.225000         0.383127        -0.999176         1.196885         0.015947
        0.226000         0.382126        -1.002910         1.197026         0.016067
        0.227000         0.381121        -1.006634         1.197167         0.016186
        0.228000         0.380112        -1.010349         1.197308         0.016306
        0.229000         0.379100        -1.014054         1.197449         0.016426
        0.230000         0.378084        -1.017750         1.197590         0.016546
        0.231000         0.377065        -1.021437         1.197732         0.016666
        0.232000         0.376041        -1.025114         1.197873         0.016786
        0.233000         0.375015        -1.028782         1.198015         0.016906
        0.234000         0.373984        -1.032440         1.198157         0.017027
        0.235000         0.372950        -1.036088         1.198299         0.017147
        0.236000         0.371912        -1.039727         1.198441         0.017268
        0.237000         0.370870        -1.043356         1.198583         0.017389
        0.238000         0.369825        -1.046976         1.198726         0.017510
        0.239000         0.368776        -1.050585         1.198868         0.017630
        0.240000         0.367724        -1.054185         1.199011         0.017751
        0.241000         0.366668        -1.057775         1.199153         0.017873
        0.242000         0.365608        -1.061355         1.199296         0.017994
        0.243000         0.364545        -1.064926         1.199439         0.018115
        0.244000         0.363478        -1.068486         1.199582         0.018236
        0.245000         0.362408        -1.072036         1.199725         0.018358
        0.246000         0.361334        -1.075576         1.199868         0.018479
        0.247000         0.360257        -1.079106         1.200011         0.018601
        0.248000         0.359176        -1.082627         1.200154         0.018722
        0.249000         0.358092        -1.086137         1.200298         0.018844
        0.250000         0.357004        -1.089636         1.200441         0.018965
        0.251000         0.355913        -1.093126         1.200584         0.019087
        0.252000         0.354818        -1.096605         1.200728         0.019209
        0.253000         0.353719        -1.100074         1.200871         0.019331
        0.254000         0.352618        -1.103533         1.201014         0.019452
        0.255000         0.351512        -1.106981         1.201158         0.019574
        0.256000         0.350404        -1.110419         1.201301         0.019696
        0.257000         0.349291        -1.113847         1.201445         0.019818
        0.258000         0.348176        -1.117264         1.201588         0.019939
        0.259000         0.347057        -1.120671         1.201732         0.020061
        0.260000         0.345935        -1.124067         1.201875         0.020183
        0.261000         0.344809        -1.127452         1.202019         0.020305
        0.262000         0.343680        -1.130827         1.202162         0.020426
        0.263000         0.342547        -1.134191         1.202305         0.020548
        0.264000         0.341411        -1.137545         1.202449         0.020670
        0.265000         0.340272        -1.140887         1.202592         0.020792
        0.266000         0.339129        -1.144219         1.202735         0.020913
        0.267000         0.337984        -1.147541         1.202879         0.021035
        0.268000         0.336834        -1.150851         1.203022         0.021156
        0.269000         0.335682        -1.154151         1.203165         0.021278
        0.270000         0.334526        -1.157439         1.203308         0.021399
        0.271000         0.333367        -1.160717         1.203451         0.021521
        0.272000         0.332205        -1.163984         1.203594         0.021642
        0.273000         0.331039        -1.167240         1.203737         0.021763
        0.274000         0.329870        -1.170484         1.203879         0.021884
        0.275000         0.328698        -1.173718         1.204022         0.022005
        0.276000         0.327523        -1.176941         1.204165         0.022126
        0.277000         0.326344        -1.180152         1.204307         0.022247
        0.278000         0.325162        -1.183352         1.204449         0.022368
        0.279000         0.323977        -1.186541         1.204592         0.022489
        0.280000         0.322789        -1.189719         1.204734         0.022609
        0.281000         0.321598        -1.192885         1.204876         0.022730
        0.282000         0.320404        -1.196041         1.205018         0.022850
        0.283000         0.319206        -1.199184         1.205159         0.022971
        0.284000         0.318005        -1.202317         1.205301         0.023091
        0.285000         0.316801        -1.205438         1.205442         0.023211
        0.286000         0.315594        -1.208547         1.205584         0.023331
        0.287000         0.314384        -1.211646         1.205725         0.023450
        0.288000         0.313171        -1.214732         1.205866         0.023570
        0.289000         0.311955        -1.217807         1.206006         0.023690
        0.290000         0.310735        -1.220870         1.206147         0.023809
        0.291000         0.309513        -1.223922         1.206287         0.023928
        0.292000         0.308288        -1.226962         1.206428         0.024047
        0.293000         0.307059        -1.229991         1.206568         0.024166
        0.294000         0.305828        -1.233007         1.206707         0.024285
        0.295000         0.304593        -1.236012         1.206847         0.024403
        0.296000         0.303356        -1.239006         1.206986         0.024522
        0.297000         0.302115        -1.241987         1.207126         0.024640
        0.298000         0.300872        -1.244956         1.207265         0.024758
        0.299000         0.299625        -1.247914         1.207403         0.024875
        0.300000         0.298376        -1.250860         1.207542         0.024993
        0.301000         0.297123        -1.253793         1.207680         0.025110
        0.302000         0.295868        -1.256715         1.207818         0.025227
        0.303000         0.294610        -1.259625         1.207956         0.025344
        0.304000         0.293349        -1.262522         1.208093         0.025461
        0.305000         0.292085        -1.265408         1.208231         0.025578
        0.306000         0.290818        -1.268281         1.208368         0.025694
        0.307000         0.289548        -1.271142         1.208504         0.025810
        0.308000         0.288276        -1.273992         1.208641         0.025926
        0.309000         0.287000        -1.276828         1.208777         0.026041
        0.310000         0.285722        -1.279653         1.208913         0.026157
        0.311000         0.284441        -1.282465         1.209049         0.026272
        0.312000         0.283157        -1.285266         1.209184         0.026387
        0.313000         0.281871        -1.288053         1.209319         0.026501
        0.314000         0.280581        -1.290829         1.209454         0.026616
        0.315000         0.279289        -1.293591         1.209588         0.026730
        0.316000         0.277994        -1.296342         1.209722         0.026844
        0.317000         0.276696        -1.299080         1.209856         0.026957
        0.318000         0.275396        -1.301806         1.209989         0.027070
        0.319000         0.274093        -1.304519         1.210122         0.027183
        0.320000         0.272787        -1.307219         1.210255         0.027296
        0.321000         0.271478        -1.309907         1.210387         0.027408
        0.322000         0.270167        -1.312582         1.210519         0.027520
        0.323000         0.268853        -1.315245         1.210651         0.027632
        0.324000         0.267536        -1.317895         1.210782         0.027744
        0.325000         0.266217        -1.320532         1.210913         0.027855
        0.326000         0.264895        -1.323156         1.211044         0.027966
        0.327000         0.263571        -1.325768         1.211174         0.028076
        0.328000         0.262244        -1.328367         1.211304         0.028186
        0.329000         0.260914        -1.330953         1.211433         0.028296
        0.330000         0.259582        -1.333526         1.211562         0.028406
        0.331000         0.258247        -1.336086         1.211691         0.028515
        0.332000         0.256910        -1.338634         1.211819         0.028624
        0.333000         0.255570        -1.341168         1.211947         0.028732
        0.334000         0.254227        -1.343690         1.212074         0.028840
        0.335000         0.252882        -1.346198         1.212201         0.028948
        0.336000         0.251535        -1.348694         1.212328         0.029055
        0.337000         0.250185        -1.351176         1.212454         0.029162
        0.338000         0.248833        -1.353645         1.212580         0.029269
        0.339000         0.247478        -1.356101         1.212705         0.029375
        0.340000         0.246120        -1.358544         1.212830         0.029481
        0.341000         0.244761        -1.360974         1.212954         0.029587
        0.342000         0.243399        -1.363391         1.213078         0.029692
        0.343000         0.242034        -1.365794         1.213201         0.029797
        0.344000         0.240667        -1.368184         1.213324         0.029901
        0.345000         0.239298        -1.370561         1.213447         0.030005
        0.346000         0.237926        -1.372925         1.213569         0.030109
        0.347000         0.236552        -1.375275         1.213690         0.030212
        0.348000         0.235175        -1.377612         1.213811         0.030315
        0.349000         0.233796        -1.379935         1.213932         0.030417
        0.350000         0.232415        -1.382245         1.214052         0.030519
        0.351000         0.231032        -1.384542         1.214172         0.030621
        0.352000         0.229646        -1.386825         1.214291         0.030722
        0.353000         0.228258        -1.389095         1.214409         0.030822
        0.354000         0.226868        -1.391351         1.214527         0.030922
        0.355000         0.225476        -1.393593         1.214645         0.031022
        0.356000         0.224081        -1.395822         1.214762         0.031121
        0.357000         0.222684        -1.398037         1.214878         0.031220
        0.358000         0.221285        -1.400239         1.214994         0.031319
        0.359000         0.219884        -1.402427         1.215110         0.031417
        0.360000         0.218480        -1.404601         1.215224         0.031514
        0.361000         0.217074        -1.406762         1.215339         0.031611
        0.362000         0.215666        -1.408909         1.215453         0.031708
        0.363000         0.214257        -1.411042         1.215566         0.031804
        0.364000         0.212844        -1.413161         1.215678         0.031899
        0.365000         0.211430        -1.415267         1.215790         0.031995
        0.366000         0.210014        -1.417358         1.215902         0.032089
        0.367000         0.208595        -1.419436         1.216013         0.032183
        0.368000         0.207175        -1.421500         1.216123         0.032277
        0.369000         0.205752        -1.423550         1.216233         0.032370
        0.370000         0.204328        -1.425586         1.216342         0.032463
        0.371000         0.202901        -1.427608         1.216451         0.032555
        0.372000         0.201473        -1.429616         1.216559         0.032647
        0.373000         0.200042        -1.431610         1.216666         0.032738
        0.374000         0.198609        -1.433590         1.216773         0.032828
        0.375000         0.197175        -1.435556         1.216879         0.032919
        0.376000         0.195738        -1.437508         1.216984         0.033008
        0.377000         0.194300        -1.439446         1.217089         0.033097
        0.378000         0.192859        -1.441370         1.217194         0.033186
        0.379000         0.191417        -1.443280         1.217297         0.033274
        0.380000         0.189973        -1.445175         1.217400         0.033361
        0.381000         0.188527        -1.447056         1.217503         0.033448
        0.382000         0.187079        -1.448923         1.217604         0.033534
        0.383000         0.185629        -1.450776         1.217706         0.033620
        0.384000         0.184177        -1.452615         1.217806         0.033705
        0.385000         0.182724        -1.454439         1.217906         0.033790
        0.386000         0.181268        -1.456249         1.218005         0.033874
        0.387000         0.179811        -1.458044         1.218103         0.033958
        0.388000         0.178352        -1.459826         1.218201         0.034041
        0.389000         0.176892        -1.461592         1.218298         0.034123
        0.390000         0.175429        -1.463345         1.218395         0.034205
        0.391000         0.173965        -1.465083         1.218491         0.034287
        0.392000         0.172499        -1.466807         1.218586         0.034367
        0.393000         0.171031        -1.468516         1.218680         0.034447
        0.394000         0.169562        -1.470211         1.218774         0.034527
        0.395000         0.168091        -1.471891         1.218867         0.034606
        0.396000         0.166618        -1.473557         1.218959         0.034684
        0.397000         0.165144        -1.475208         1.219051         0.034762
        0.398000         0.163668        -1.476845         1.219142         0.034839
        0.399000         0.162190        -1.478467         1.219232         0.034916
        0.400000         0.160711        -1.480074         1.219321         0.034992
        0.401000         0.159230        -1.481667         1.219410         0.035067
        0.402000         0.157747        -1.483245         1.219498         0.035142
        0.403000         0.156263        -1.484809         1.219586         0.035216
        0.404000         0.154778        -1.486358         1.219672         0.035290
        0.405000         0.153291        -1.487892         1.219758         0.035362
        0.406000         0.151802        -1.489412         1.219843         0.035435
        0.407000         0.150312        -1.490916         1.219928         0.035506
        0.408000         0.148820        -1.492407         1.220011         0.035577
        0.409000         0.147327        -1.493882         1.220094         0.035648
        0.410000         0.145832        -1.495342         1.220176         0.035718
        0.411000         0.144336        -1.496788         1.220258         0.035787
        0.412000         0.142839        -1.498219         1.220338         0.035855
        0.413000         0.141340        -1.499635         1.220418         0.035923
        0.414000         0.139840        -1.501037         1.220497         0.035990
        0.415000         0.138338        -1.502423         1.220576         0.036057
        0.416000         0.136835        -1.503794         1.220653         0.036122
        0.417000         0.135330        -1.505151         1.220730         0.036188
        0.418000         0.133824        -1.506493         1.220806         0.036252
        0.419000         0.132317        -1.507820         1.220882         0.036316
        0.420000         0.130809        -1.509131         1.220956         0.036379
        0.421000         0.129299        -1.510428         1.221030         0.036442
        0.422000         0.127788        -1.511710         1.221103         0.036504
        0.423000         0.126276        -1.512977         1.221175         0.036565
        0.424000         0.124762        -1.514229         1.221246         0.036625
        0.425000         0.123247        -1.515466         1.221317         0.036685
        0.426000         0.121731        -1.516688         1.221386         0.036744
        0.427000         0.120214        -1.517894         1.221455         0.036803
        0.428000         0.118695        -1.519086         1.221523         0.036861
        0.429000         0.117176        -1.520263         1.221591         0.036918
        0.430000         0.115655        -1.521424         1.221657         0.036974
        0.431000         0.114133        -1.522571         1.221723         0.037030
        0.432000         0.112610        -1.523702         1.221788         0.037085
        0.433000         0.111085        -1.524818         1.221852         0.037139
        0.434000         0.109560        -1.525919         1.221915         0.037193
        0.435000         0.108033        -1.527005         1.221977         0.037246
        0.436000         0.106506        -1.528076         1.222039         0.037298
        0.437000         0.104977        -1.529131         1.222099         0.037350
        0.438000         0.103448        -1.530171         1.222159         0.037401
        0.439000         0.101917        -1.531196         1.222218         0.037451
        0.440000         0.100385        -1.532206         1.222277         0.037500
        0.441000         0.098853        -1.533201         1.222334         0.037549
        0.442000         0.097319        -1.534180         1.222391         0.037597
        0.443000         0.095784        -1.535144         1.222446         0.037644
        0.444000         0.094249        -1.536093         1.222501         0.037691
        0.445000         0.092712        -1.537026         1.222555         0.037737
        0.446000         0.091175        -1.537944         1.222608         0.037782
        0.447000         0.089636        -1.538847         1.222660         0.037826
        0.448000         0.088097        -1.539735         1.222712         0.037870
        0.449000         0.086557        -1.540607         1.222762         0.037913
        0.450000         0.085016        -1.541464         1.222812         0.037955
        0.451000         0.083474        -1.542305         1.222861         0.037996
        0.452000         0.081931        -1.543131         1.222909         0.038037
        0.453000         0.080387        -1.543942         1.222956         0.038077
        0.454000         0.078843        -1.544737         1.223002         0.038116
        0.455000         0.077298        -1.545517         1.223048         0.038155
        0.456000         0.075752        -1.546282         1.223092         0.038192
        0.457000         0.074205        -1.547031         1.223136         0.038229
        0.458000         0.072658        -1.547764         1.223178         0.038266
        0.459000         0.071110        -1.548482         1.223220         0.038301
        0.460000         0.069561        -1.549185         1.223261         0.038336
        0.461000         0.068012        -1.549873         1.223301         0.038370
        0.462000         0.066461        -1.550544         1.223340         0.038403
        0.463000         0.064910        -1.551201         1.223379         0.038436
        0.464000         0.063359        -1.551842         1.223416         0.038468
        0.465000         0.061807        -1.552467         1.223453         0.038499
        0.466000         0.060254        -1.553077         1.223488         0.038529
        0.467000         0.058701        -1.553671         1.223523         0.038558
        0.468000         0.057147        -1.554250         1.223557         0.038587
        0.469000         0.055592        -1.554814         1.223590         0.038615
        0.470000         0.054037        -1.555362         1.223622         0.038642
        0.471000         0.052481        -1.555894         1.223653         0.038669
        0.472000         0.050925        -1.556411         1.223683         0.038694
        0.473000         0.049369        -1.556912         1.223713         0.038719
        0.474000         0.047811        -1.557398         1.223741         0.038743
        0.475000         0.046254        -1.557868         1.223769         0.038767
        0.476000         0.044696        -1.558323         1.223796         0.038790
        0.477000         0.043137        -1.558762         1.223821         0.038811
        0.478000         0.041578        -1.559185         1.223846         0.038832
        0.479000         0.040019        -1.559593         1.223870         0.038853
        0.480000         0.038459        -1.559985         1.223893         0.038872
        0.481000         0.036899        -1.560362         1.223915         0.038891
        0.482000         0.035338        -1.560723         1.223936         0.038909
        0.483000         0.033777        -1.561068         1.223957         0.038926
        0.484000         0.032216        -1.561398         1.223976         0.038943
        0.485000         0.030655        -1.561713         1.223995         0.038958
        0.486000         0.029093        -1.562011         1.224012         0.038973
        0.487000         0.027531        -1.562294         1.224029         0.038987
        0.488000         0.025968        -1.562562         1.224044         0.039001
        0.489000         0.024405        -1.562814         1.224059         0.039013
        0.490000         0.022842        -1.563050         1.224073         0.039025
        0.491000         0.021279        -1.563271         1.224086         0.039036
        0.492000         0.019716        -1.563476         1.224098         0.039046
        0.493000         0.018152        -1.563665         1.224109         0.039056
        0.494000         0.016589        -1.563839         1.224120         0.039065
        0.495000         0.015025        -1.563997         1.224129         0.039073
        0.496000         0.013461        -1.564139         1.224137         0.039080
        0.497000         0.011896        -1.564266         1.224145         0.039086
        0.498000         0.010332        -1.564377         1.224151         0.039092
        0.499000         0.008768        -1.564472         1.224157         0.039096
        0.500000         0.007203        -1.564552         1.224162         0.039100
        0.501000         0.005639        -1.564617         1.224165         0.039103
        0.502000         0.004074        -1.564665         1.224168         0.039106
